IP_Address,Measure_Date,Measure_Time,Stat_Description,Interface_ID,Stat_Value
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCInDelivers.ipv4,7,954059
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCInDelivers.ipv4,8,343129
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCInForwDatagrams.ipv4,3,70
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCInForwDatagrams.ipv4,8,263528
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCInOctets.ipv4,3,2074299125
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCInOctets.ipv4,7,3483613750
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCInOctets.ipv4,8,3483613841
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCInReceives.ipv4,3,329966141
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCInReceives.ipv4,7,551978636
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCInReceives.ipv4,8,551978637
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutForwDatagrams.ipv4,3,113176
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutForwDatagrams.ipv4,8,71
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutOctets.ipv4,3,491708992
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutOctets.ipv4,7,3561219683
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutOctets.ipv4,8,3561219783
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutRequests.ipv4,3,3
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutRequests.ipv4,7,954263
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutRequests.ipv4,8,1059847
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutTransmits.ipv4,3,403265869
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutTransmits.ipv4,7,470496890
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsHCOutTransmits.ipv4,8,470496891
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInDelivers.ipv4,7,954056
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInDelivers.ipv4,8,343129
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInForwDatagrams.ipv4,3,70
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInForwDatagrams.ipv4,8,263528
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInHdrErrors.ipv4,8,716820
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInNoRoutes.ipv4,8,1
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInOctets.ipv4,3,2074299125
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInOctets.ipv4,7,3483613477
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInOctets.ipv4,8,3483613568
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInReceives.ipv4,3,329966141
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInReceives.ipv4,7,551978633
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInReceives.ipv4,8,551978634
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsInTruncatedPkts.ipv4,8,2
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutForwDatagrams.ipv4,3,113176
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutForwDatagrams.ipv4,8,71
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutFragCreates.ipv4,7,442
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutFragOKs.ipv4,7,56
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutFragReqds.ipv4,7,56
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutOctets.ipv4,3,491708992
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutOctets.ipv4,7,3561219384
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutOctets.ipv4,8,3561219484
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutRequests.ipv4,3,3
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutRequests.ipv4,7,954260
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutRequests.ipv4,8,1059847
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutTransmits.ipv4,3,403265869
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutTransmits.ipv4,7,470496887
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsOutTransmits.ipv4,8,470496888
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsReasmFails.ipv4,7,624
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsReasmOKs.ipv4,7,56
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipIfStatsReasmReqds.ipv4,7,1630
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsHCInDelivers.ipv4 ,0,1297083
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsHCInForwDatagrams.ipv4 ,0,263598
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsHCInOctets.ipv4 ,0,163256935
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsHCInReceives.ipv4 ,0,2280037
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsHCOutForwDatagrams.ipv4 ,0,871748194
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsHCOutOctets.ipv4 ,0,165030819
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsHCOutRequests.ipv4 ,0,2014432
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsHCOutTransmits.ipv4 ,0,2278050
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsInDelivers.ipv4 ,0,1297081
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsInForwDatagrams.ipv4 ,0,263598
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsInHdrErrors.ipv4 ,0,716820
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsInNoRoutes.ipv4 ,0,720
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsInOctets.ipv4 ,0,163256783
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsInReceives.ipv4 ,0,2280035
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsInTruncatedPkts.ipv4 ,0,2
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsOutForwDatagrams.ipv4 ,0,871748194
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsOutFragCreates.ipv4 ,0,442
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsOutFragOKs.ipv4 ,0,56
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsOutFragReqds.ipv4 ,0,56
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsOutNoRoutes.ipv4 ,0,363
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsOutOctets.ipv4 ,0,165030662
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsOutRequests.ipv4 ,0,2014430
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsOutTransmits.ipv4 ,0,2278048
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsReasmFails.ipv4 ,0,624
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsReasmOKs.ipv4 ,0,56
172.16.105.207,21/04/2024,0:07:17,IP-MIB-ipSystemStatsReasmReqds.ipv4 ,0,1630
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCInDelivers.ipv4,7,954284
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCInDelivers.ipv4,8,343151
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCInForwDatagrams.ipv4,3,70
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCInForwDatagrams.ipv4,8,263532
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCInOctets.ipv4,3,2075588297
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCInOctets.ipv4,7,3485326657
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCInOctets.ipv4,8,3485326748
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCInReceives.ipv4,3,329971311
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCInReceives.ipv4,7,551987040
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCInReceives.ipv4,8,551987041
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutForwDatagrams.ipv4,3,113180
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutForwDatagrams.ipv4,8,71
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutOctets.ipv4,3,493190192
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutOctets.ipv4,7,3562734832
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutOctets.ipv4,8,3562734932
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutRequests.ipv4,3,3
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutRequests.ipv4,7,954488
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutRequests.ipv4,8,1059884
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutTransmits.ipv4,3,403271277
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutTransmits.ipv4,7,470505058
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsHCOutTransmits.ipv4,8,470505059
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInDelivers.ipv4,7,954281
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInDelivers.ipv4,8,343151
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInForwDatagrams.ipv4,3,70
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInForwDatagrams.ipv4,8,263532
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInHdrErrors.ipv4,8,716835
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInNoRoutes.ipv4,8,1
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInOctets.ipv4,3,2075588297
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInOctets.ipv4,7,3485326384
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInOctets.ipv4,8,3485326475
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInReceives.ipv4,3,329971311
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInReceives.ipv4,7,551987037
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInReceives.ipv4,8,551987038
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsInTruncatedPkts.ipv4,8,2
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutForwDatagrams.ipv4,3,113180
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutForwDatagrams.ipv4,8,71
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutFragCreates.ipv4,7,442
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutFragOKs.ipv4,7,56
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutFragReqds.ipv4,7,56
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutOctets.ipv4,3,493190192
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutOctets.ipv4,7,3562734533
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutOctets.ipv4,8,3562734633
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutRequests.ipv4,3,3
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutRequests.ipv4,7,954485
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutRequests.ipv4,8,1059884
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutTransmits.ipv4,3,403271277
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutTransmits.ipv4,7,470505055
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsOutTransmits.ipv4,8,470505056
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsReasmFails.ipv4,7,624
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsReasmOKs.ipv4,7,56
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipIfStatsReasmReqds.ipv4,7,1630
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipSystemStatsHCInDelivers.ipv4 ,0,1297330
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipSystemStatsHCInForwDatagrams.ipv4 ,0,263602
172.16.105.207,21/04/2024,0:17:20,IP-MIB-ipSystemStatsHCInOctets.ipv4 ,0,163276798
