IP_Address,Measure_DateTime,Protocol_Version,Stat_Description,Interface_ID,Stat_Value,New_Stat_Description
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCInDelivers,7,954059,IP Interface Inbound Delivered Packets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCInDelivers,8,343129,IP Interface Inbound Delivered Packets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCInForwDatagrams,3,70,IP Interface Inbound Forwarded Datagrams
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCInForwDatagrams,8,263528,IP Interface Inbound Forwarded Datagrams
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCInOctets,3,2074299125,IP Interface Inbound Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCInOctets,7,3483613750,IP Interface Inbound Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCInOctets,8,3483613841,IP Interface Inbound Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCInReceives,3,329966141,IP Interface Inbound Receives
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCInReceives,7,551978636,IP Interface Inbound Receives
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCInReceives,8,551978637,IP Interface Inbound Receives
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutForwDatagrams,3,113176,IP Interface Outbound Forwarded Datagrams
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutForwDatagrams,8,71,IP Interface Outbound Forwarded Datagrams
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutOctets,3,491708992,IP Interface Outbound Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutOctets,7,3561219683,IP Interface Outbound Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutOctets,8,3561219783,IP Interface Outbound Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutRequests,3,3,IP Interface Outbound Requests
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutRequests,7,954263,IP Interface Outbound Requests
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutRequests,8,1059847,IP Interface Outbound Requests
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutTransmits,3,403265869,IP Interface Outbound Transmits
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutTransmits,7,470496890,IP Interface Outbound Transmits
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsHCOutTransmits,8,470496891,IP Interface Outbound Transmits
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInDelivers,7,954056,IP Interface Inbound Delivered Packets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInDelivers,8,343129,IP Interface Inbound Delivered Packets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInForwDatagrams,3,70,IP Interface Inbound Forwarded Datagrams
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInForwDatagrams,8,263528,IP Interface Inbound Forwarded Datagrams
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInHdrErrors,8,716820,IP Interface Inbound Header Errors
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInNoRoutes,8,1,IP Interface Inbound Packets with No Routes
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInOctets,3,2074299125,IP Interface Inbound Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInOctets,7,3483613477,IP Interface Inbound Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInOctets,8,3483613568,IP Interface Inbound Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInReceives,3,329966141,IP Interface Inbound Receives
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInReceives,7,551978633,IP Interface Inbound Receives
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInReceives,8,551978634,IP Interface Inbound Receives
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsInTruncatedPkts,8,2,IP Interface Inbound Truncated Packets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutForwDatagrams,3,113176,IP Interface Outbound Forwarded Datagrams
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutForwDatagrams,8,71,IP Interface Outbound Forwarded Datagrams
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutFragCreates,7,442,IP Interface Outbound Fragmentation Creates
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutFragOKs,7,56,IP Interface Out Fragmentation Successes
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutFragReqds,7,56,IP Interface Out Fragmentation Requests
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutOctets,3,491708992,IP Interface Out Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutOctets,7,3561219384,IP Interface Out Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutOctets,8,3561219484,IP Interface Out Octets
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutRequests,3,3,IP Interface Out Requests
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutRequests,7,954260,IP Interface Out Requests
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutRequests,8,1059847,IP Interface Out Requests
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutTransmits,3,403265869,IP Interface Out Transmits
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutTransmits,7,470496887,IP Interface Out Transmits
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsOutTransmits,8,470496888,IP Interface Out Transmits
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsReasmFails,7,624,IP Interface Reassembly Failures
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsReasmOKs,7,56,IP Interface Reassembly Successes
172.16.105.207,21/04/2024  0:07:17,ipv4,IP-MIB-ipIfStatsReasmReqds,7,1630,IP Interface Reassembly Requests
